family,axis,model_a,model_b,ordering_basis,delta_RSA_mean,delta_RSA_hdi_low,delta_RSA_hdi_high,delta_Q_mean,delta_Q_hdi_low,delta_Q_hdi_high,p_value_posterior,rope_verdict,q_value_bh,significant_after_fdr
claude,domain,anthropic-haiku45,anthropic-sonnet46,alphabetical (no param-count data),0.32349177142846886,-0.08184052396053998,0.744017568367874,0.14909917233496667,-0.03618599921880737,0.34393341703615626,0.1145,undecided,0.28396875,False
gemma,domain,ollama-gemma2-2b,ollama-gemma3-12b,param_count_rank,0.7304543248981783,0.09000930814437236,1.383958615274814,0.3303906660338709,0.04763918872096083,0.6201486966760088,0.0175,undecided,0.1235,False
gemma,domain,ollama-gemma2-2b,ollama-gemma3-27b,param_count_rank,0.08256934046809296,-0.43830980467151354,0.6014776810362894,0.040692353963410366,-0.21590048644530513,0.29547582048834004,0.763,undecided,0.92990625,False
gemma,domain,ollama-gemma3-12b,ollama-gemma3-27b,param_count_rank,-0.6478849844300852,-1.2603326321937418,-0.10297173708824525,-0.28969831207046054,-0.5471751948149332,-0.04494709164229016,0.0225,nonzero,0.12535714285714286,False
gpt,domain,openai-gpt41,openai-gpt4o,alphabetical (no param-count data),-0.3058834492829577,-0.9789086624180918,0.3766242640540731,-0.14996719334530115,-0.4970783169484661,0.16943006216097875,0.3635,undecided,0.5250555555555555,False
llama3,domain,ollama-llama31-8b,ollama-llama3-70b,param_count_rank,0.4635809006458484,-0.10550677879122067,1.0765650813836287,0.22436138515205972,-0.051759880357974894,0.5129991816327995,0.1165,undecided,0.28396875,False
llama3,domain,ollama-llama32-1b,ollama-llama3-70b,param_count_rank,0.07753989383229913,-0.5752760474168859,0.7568526779495608,0.03751601493686464,-0.2694615671815051,0.3601348384600704,0.8115,undecided,0.9308382352941176,False
llama3,domain,ollama-llama32-1b,ollama-llama31-8b,param_count_rank,-0.3860410068135493,-1.0672147787186272,0.2656316393268194,-0.18684537021519507,-0.5174518872752084,0.12534953737067014,0.253,undecided,0.39375000000000004,False
llama3,domain,ollama-llama32-1b,ollama-llama32-3b,param_count_rank,0.46898767822673654,-0.15112143974908732,1.0756410725168948,0.21171995430365306,-0.060808675839240864,0.49911990698408604,0.134,undecided,0.30741176470588233,False
llama3,domain,ollama-llama32-3b,ollama-llama3-70b,param_count_rank,-0.39144778439443745,-0.9343748324017892,0.16487830448727236,-0.17420393936678844,-0.4266244527658683,0.06573268916460492,0.1785,undecided,0.3315,False
llama3,domain,ollama-llama32-3b,ollama-llama31-8b,param_count_rank,-0.8550286850402857,-1.4435468403870457,-0.2970434418403346,-0.39856532451884813,-0.6641535844650301,-0.13922762863818336,0.001,nonzero,0.0195,True
mistral,domain,ollama-mistral-7b,ollama-mistral-nemo,param_count_rank,-0.5132441482732666,-1.09328605208688,0.07520573764126909,-0.2434040143593442,-0.5270084790401327,0.02380388763556871,0.0775,undecided,0.26549999999999996,False
qwen25,domain,ollama-qwen25-3b,ollama-qwen25-7b,param_count_rank,0.0023292927946621405,-0.49963282076440835,0.5349084724760687,0.0011581477830534693,-0.25148658242514976,0.2617483028355886,0.99,undecided,0.99,False
claude,role,anthropic-haiku45,anthropic-sonnet46,alphabetical (no param-count data),0.2120036921847726,0.10692538391962764,0.32327902916918216,0.10440951007865804,0.05152804708379131,0.15784360119003502,0.0005,nonzero,0.0195,True
gemma,role,ollama-gemma2-2b,ollama-gemma3-12b,param_count_rank,0.12315342748235011,0.01336713932742399,0.2261320612408548,0.06142418544317995,0.007159723184909925,0.11358486066219431,0.03,undecided,0.14625,False
gemma,role,ollama-gemma2-2b,ollama-gemma3-27b,param_count_rank,0.1808620261427645,0.08085995632844531,0.2815893180740191,0.09004733806713695,0.04061498167182804,0.14101785133287548,0.0015,undecided,0.0195,True
gemma,role,ollama-gemma3-12b,ollama-gemma3-27b,param_count_rank,0.05770859866041438,-0.044644009400970325,0.16540131025162427,0.02862315262395699,-0.02396117977858663,0.08048214000176356,0.258,undecided,0.39375000000000004,False
