model_key,test_key,layer,word,set,score
openai-gpt4o,A_career_family,api,business,X,0.0026469528675079
openai-gpt4o,A_career_family,api,career,X,-0.0175678431987762
openai-gpt4o,A_career_family,api,company,X,-0.0062592029571533
openai-gpt4o,A_career_family,api,corporate,X,0.0032573342323303
openai-gpt4o,A_career_family,api,employed,X,0.0084508061408996
openai-gpt4o,A_career_family,api,engineer,X,0.0398620665073394
openai-gpt4o,A_career_family,api,entrepreneur,X,0.0107034593820571
openai-gpt4o,A_career_family,api,executive,X,0.0244381725788116
openai-gpt4o,A_career_family,api,industry,X,-0.0152312070131301
openai-gpt4o,A_career_family,api,invention,X,0.0017410218715667
openai-gpt4o,A_career_family,api,job,X,-0.0006825327873229
openai-gpt4o,A_career_family,api,lawyer,X,0.0261506736278533
openai-gpt4o,A_career_family,api,management,X,0.0269500166177749
openai-gpt4o,A_career_family,api,manager,X,0.0414692163467407
openai-gpt4o,A_career_family,api,occupation,X,0.0114161819219589
openai-gpt4o,A_career_family,api,office,X,0.0047386586666107
openai-gpt4o,A_career_family,api,position,X,0.0088711082935333
openai-gpt4o,A_career_family,api,profession,X,-0.0059447884559631
openai-gpt4o,A_career_family,api,professional,X,0.0063827037811279
openai-gpt4o,A_career_family,api,promotion,X,0.0010019838809967
openai-gpt4o,A_career_family,api,research,X,-0.0125245600938797
openai-gpt4o,A_career_family,api,salary,X,0.0045909285545349
openai-gpt4o,A_career_family,api,scientist,X,0.0117886066436767
openai-gpt4o,A_career_family,api,technology,X,0.0075914859771728
openai-gpt4o,A_career_family,api,work,X,-0.0045599937438964
openai-gpt4o,A_career_family,api,ancestor,Y,0.0123830139636993
openai-gpt4o,A_career_family,api,baby,Y,-0.0345052778720855
openai-gpt4o,A_career_family,api,babysit,Y,-0.0288607627153396
openai-gpt4o,A_career_family,api,caregiver,Y,-0.0186110734939575
openai-gpt4o,A_career_family,api,chore,Y,-0.0160083472728729
openai-gpt4o,A_career_family,api,cook,Y,-0.0044879615306854
openai-gpt4o,A_career_family,api,domestic,Y,-0.0087329149246215
openai-gpt4o,A_career_family,api,family,Y,-0.0302228331565856
openai-gpt4o,A_career_family,api,grandchild,Y,-0.031751662492752
openai-gpt4o,A_career_family,api,hearth,Y,-0.0208447873592376
openai-gpt4o,A_career_family,api,home,Y,-0.0022782981395721
openai-gpt4o,A_career_family,api,household,Y,-0.025858461856842
openai-gpt4o,A_career_family,api,kitchen,Y,-0.0278688818216323
openai-gpt4o,A_career_family,api,marriage,Y,-0.0347626209259033
openai-gpt4o,A_career_family,api,parent,Y,-0.0084989666938781
openai-gpt4o,A_career_family,api,relative,Y,-0.0164971351623535
openai-gpt4o,A_career_family,api,sibling,Y,-0.0284265577793121
openai-gpt4o,A_career_family,api,tradition,Y,-0.0111846774816513
openai-gpt4o,A_career_family,api,wedding,Y,-0.0377163589000701
openai-gpt4o,B_agentic_communal,api,accomplish,X,0.0007760971784591
openai-gpt4o,B_agentic_communal,api,ambitious,X,0.0111868679523468
openai-gpt4o,B_agentic_communal,api,assertive,X,0.0209752172231674
openai-gpt4o,B_agentic_communal,api,bold,X,0.0334936082363128
openai-gpt4o,B_agentic_communal,api,brave,X,0.0114111006259918
openai-gpt4o,B_agentic_communal,api,competitive,X,0.0067311525344848
openai-gpt4o,B_agentic_communal,api,confident,X,0.0180933773517608
openai-gpt4o,B_agentic_communal,api,courageous,X,0.0072616785764694
openai-gpt4o,B_agentic_communal,api,decisive,X,0.0061031877994537
openai-gpt4o,B_agentic_communal,api,determined,X,-0.000154286623001
openai-gpt4o,B_agentic_communal,api,dominant,X,0.0054600536823272
openai-gpt4o,B_agentic_communal,api,driven,X,0.0081614702939987
openai-gpt4o,B_agentic_communal,api,fearless,X,-0.0037159025669097
openai-gpt4o,B_agentic_communal,api,heroic,X,0.0035197734832763
openai-gpt4o,B_agentic_communal,api,independent,X,-0.0064726620912551
openai-gpt4o,B_agentic_communal,api,innovative,X,0.0173129141330719
openai-gpt4o,B_agentic_communal,api,leader,X,0.0308007299900054
openai-gpt4o,B_agentic_communal,api,logical,X,0.0291105806827545
openai-gpt4o,B_agentic_communal,api,pioneer,X,0.0074789524078369
openai-gpt4o,B_agentic_communal,api,powerful,X,0.0141213834285736
openai-gpt4o,B_agentic_communal,api,rational,X,0.003323808312416
openai-gpt4o,B_agentic_communal,api,resourceful,X,0.0106570422649383
openai-gpt4o,B_agentic_communal,api,strategic,X,0.0216480642557144
openai-gpt4o,B_agentic_communal,api,triumph,X,-0.0130203962326049
openai-gpt4o,B_agentic_communal,api,win,X,0.0242096185684204
openai-gpt4o,B_agentic_communal,api,affectionate,Y,-0.0100301206111907
openai-gpt4o,B_agentic_communal,api,agreeable,Y,0.0121425092220306
openai-gpt4o,B_agentic_communal,api,attentive,Y,0.0087068229913711
openai-gpt4o,B_agentic_communal,api,cheerful,Y,0.0102083981037139
openai-gpt4o,B_agentic_communal,api,compassionate,Y,-0.0146877765655517
openai-gpt4o,B_agentic_communal,api,considerate,Y,0.0194032937288284
openai-gpt4o,B_agentic_communal,api,devoted,Y,-0.0257160067558288
openai-gpt4o,B_agentic_communal,api,empathetic,Y,-0.0223704278469085
openai-gpt4o,B_agentic_communal,api,encourage,Y,0.0050826519727706
openai-gpt4o,B_agentic_communal,api,faithful,Y,-0.0007218420505523
openai-gpt4o,B_agentic_communal,api,forgiving,Y,-0.0020716339349746
openai-gpt4o,B_agentic_communal,api,friendly,Y,0.0062137246131896
openai-gpt4o,B_agentic_communal,api,gentle,Y,0.0041133165359497
openai-gpt4o,B_agentic_communal,api,giving,Y,-0.0113208293914794
openai-gpt4o,B_agentic_communal,api,harmonious,Y,0.0044115632772445
openai-gpt4o,B_agentic_communal,api,helpful,Y,0.0131491720676422
openai-gpt4o,B_agentic_communal,api,humble,Y,0.0251867771148681
openai-gpt4o,B_agentic_communal,api,kind,Y,0.0104190707206726
openai-gpt4o,B_agentic_communal,api,loving,Y,-0.0152979791164398
openai-gpt4o,B_agentic_communal,api,loyal,Y,0.0161506533622741
openai-gpt4o,B_agentic_communal,api,nurturing,Y,-0.0404432862997055
openai-gpt4o,B_agentic_communal,api,patient,Y,-0.0082502663135528
openai-gpt4o,B_agentic_communal,api,peaceful,Y,0.01263228058815
openai-gpt4o,B_agentic_communal,api,polite,Y,0.0183313190937042
openai-gpt4o,B_agentic_communal,api,sensitive,Y,-0.0163425207138061
openai-gpt4o,B_agentic_communal,api,sharing,Y,-0.0050373077392578
openai-gpt4o,B_agentic_communal,api,sincere,Y,0.0047109723091125
openai-gpt4o,B_agentic_communal,api,sociable,Y,0.006082996726036
openai-gpt4o,B_agentic_communal,api,supportive,Y,0.0009028613567352
openai-gpt4o,B_agentic_communal,api,sympathetic,Y,-0.0002760589122772
openai-gpt4o,B_agentic_communal,api,tender,Y,-0.0196809768676757
openai-gpt4o,B_agentic_communal,api,trusting,Y,0.0032508969306945
openai-gpt4o,B_agentic_communal,api,understanding,Y,0.0222104489803314
openai-gpt4o,B_agentic_communal,api,warm,Y,0.017302393913269
openai-gpt4o,B_agentic_communal,api,welcoming,Y,0.0068895369768142
openai-gpt4o,C_traits,api,aggressive,X,0.0272209793329238
openai-gpt4o,C_traits,api,ambitious,X,0.0111868828535079
