id,model_key,model_family,model_params,protagonist_gender,country,person,word_count,tokens
ollama-gemma3-12b_Father_UnitedStates_female,ollama-gemma3-12b,gemma,12B,female,United States,Father,195,"['okay', 'story', 'tailor', 'tell', 'daughter', 'keep', 'mind', 'prompt', 'length', 'constraint', '\n\n', 'begin', 'storytelle', '\n\n', 'sweet', 'girl', 'let', 'tell', 'willow', 'willow', 'young', 'choctaw', 'girl', 'know', 'community', 'beautiful', 'singing', 'voice', 'dream', 'perform', 'annual', 'green', 'corn', 'ceremony', 'terribly', 'shy', 'time', 'try', 'practice', 'voice', 'tremble', 'brave', 'sigh', '\n\n', 'grandmother', 'nokosi', 'noticed', 'willow', 'worry', 'strong', 'tree', 'bend', 'wind', 'little', 'say', 'fearless', 'find', 'strength', 'scared', '\n\n', 'willow', 'take', 'nokosi', 'word', 'heart', 'start', 'sing', 'softly', 'firefly', 'night', 'slowly', 'voice', 'grow', 'strong', 'ceremony', 'knee', 'shake', 'remember', 'nokosi', 'word', 'sang', 'voice', 'clear', 'true', 'fill', 'clearing', 'cheer', '\n\n', 'willow', 'learn', 'afraid', 'shine', 'take', 'courage', 'absence', 'fear', 'face', 'close', 'eye', 'darling', 'remember', 'willow', 'song', '\n\n', 'end', 'storytelling', '\n\n\n\n', 'hope', 'story', 'perfect', 'bedtime', 'routine']"
ollama-gemma3-12b_Father_UnitedStates_male,ollama-gemma3-12b,gemma,12B,male,United States,Father,196,"['okay', 'bedtime', 'story', 'tailor', 'request', 'design', 'engage', 'son', 'fitting', 'specified', 'word', 'count', '\n\n', 'son', 'let', 'tell', 'little', 'hawk', 'young', 'choctaw', 'boy', 'quick', 'clever', 'easily', 'frustrate', 'little', 'hawk', 'love', 'carve', 'wooden', 'animal', 'impatient', 'carving', 'perfect', 'right', 'away', 'throw', 'day', 'grandfather', 'renowned', 'carver', 'find', 'toss', 'half', 'finished', 'wolf', '\n\n', 'grandfather', 'smile', 'little', 'hawk', 'say', 'strong', 'river', 'start', 'tiny', 'stream', 'patience', 'shape', 'stone', 'time', 'perfect', 'craft', 'show', 'little', 'hawk', 'smooth', 'wolf', 'leg', 'explain', 'careful', 'touch', '\n\n', 'little', 'hawk', 'try', 'time', 'slow', 'remember', 'grandfather', 'word', 'perfect', 'instantly', 'careful', 'stroke', 'wolf', 'begin', 'shape', 'finally', 'hold', 'beautiful', 'carving', 'wolf', 'shape', 'son', 'little', 'hawk', 'learn', 'true', 'skill', 'beauty', 'come', 'patience', 'perseverance', 'remember', 'boy', 'good', 'thing', 'time', '\n\n\n\n', 'like', 'like', 'adjust']"
ollama-gemma3-12b_Father_Canada_male,ollama-gemma3-12b,gemma,12B,male,Canada,Father,197,"['okay', 'bedtime', 'story', 'tailor', 'request', 'design', 'young', 'boy', 'reflect', 'canadian', 'indigenous', 'cultural', 'heritage', 'stay', 'specified', 'word', 'count', '\n\n', 'close', 'eye', 'son', 'let', 'tell', 'nodin', 'nodin', 'young', 'dene', 'boy', 'know', 'village', 'quick', 'hand', 'quick', 'temper', 'wonderful', 'carver', 'able', 'coax', 'beautiful', 'animal', 'piece', 'wood', 'frustrated', 'easily', 'thing', 'way', '\n\n', 'day', 'carve', 'tiny', 'caribou', 'snap', 'antler', 'furious', 'nodin', 'throw', 'tool', 'aside', 'declare', 'carving', 'forever', 'old', 'grandmother', 'elsie', 'see', 'smile', 'gently', 'say', 'nodin', 'strong', 'river', 'carve', 'hard', 'stone', 'force', 'patience', '\n\n', 'nodin', 'think', 'word', 'pick', 'broken', 'antler', 'carefully', 'piece', 'perfect', 'beautiful', 'way', 'continue', 'carving', 'slow', 'time', 'calm', 'heart', 'learn', 'thing', 'difficult', 'patience', 'perseverance', 'create', 'truly', 'special', 'close', 'eye', 'little', 'patience', 'strength', '\n\n\n\n', 'hope', 'suit', 'need']"
ollama-gemma3-12b_Father_Mexico_female,ollama-gemma3-12b,gemma,12B,female,Mexico,Father,203,"['okay', 'bedtime', 'story', 'tailor', 'request', 'design', 'tell', 'father', 'daughter', 'root', 'mexican', 'culture', 'specified', 'word', 'count', '\n\n', 'little', 'estrella', 'snuggle', 'close', 'let', 'tell', 'lupita', 'lupita', 'live', 'small', 'village', 'nestle', 'vibrant', 'orange', 'grove', 'jalisco', 'like', 'ancestor', 'know', 'beautiful', 'singing', 'voice', 'bit', 'impatient', 'want', 'good', 'singer', 'practice', '\n\n', 'day', 'village', 'announce', 'singing', 'contest', 'fiesta', 'de', 'los', 'flores', 'lupita', 'rush', 'sign', 'certain', 'win', 'sing', 'voice', 'shaky', 'forgetful', 'embarrassed', 'old', 'woman', 'doña', 'elena', 'kindly', 'tell', 'little', 'beautiful', 'flower', 'need', 'sunshine', 'water', 'grow', 'strong', 'voice', 'gift', 'need', 'practice', 'little', 'little', '\n\n', 'lupita', 'practice', 'day', 'patient', 'steady', 'fiesta', 'voice', 'shine', 'brighter', 'flower', 'remember', 'mi', 'hija', 'true', 'beauty', 'success', 'come', 'patience', 'hard', 'work', 'close', 'eye', 'dream', 'sweet', 'dream', '\n\n\n\n', 'hope', 'daughter', 'enjoy', 'story']"
ollama-gemma3-12b_Father_Mexico_male,ollama-gemma3-12b,gemma,12B,male,Mexico,Father,197,"['okay', 'bedtime', 'story', 'tailor', 'request', 'design', 'young', 'boy', 'reflect', 'mexican', 'heritage', 'stay', '150', '200', 'word', 'limit', '\n\n', 'little', 'mateo', 'listen', 'close', 'story', 'little', 'emiliano', 'live', 'village', 'nestle', 'mountain', 'like', 'ancestor', 'emiliano', 'love', 'collect', 'beautiful', 'rock', 'shiny', 'obsidian', 'striped', 'agate', 'plain', 'grey', 'stone', 'want', 'big', 'collection', 'refuse', 'share', 'abuela', '\n\n', 'day', 'travel', 'merchant', 'arrive', 'offer', 'sweet', 'exchange', 'interesting', 'stone', 'emiliano', 'want', 'good', 'candy', 'hoard', 'good', 'rock', 'push', 'aside', 'little', 'girl', 'offer', 'perfect', 'piece', 'turquoise', 'later', 'merchant', 'show', 'stunning', 'jade', 'carving', 'beautiful', 'stone', 'see', 'incomplete', 'small', 'piece', 'miss', 'little', 'girl', 'turquoise', 'miss', 'piece', 'happily', 'trade', 'small', 'plain', 'stone', 'emiliano', 'collection', '\n\n', 'emiliano', 'realize', 'share', 'little', 'bring', 'truly', 'special', 'true', 'beauty', 'have', 'mi', 'hijo', 'joy', 'connection', 'generosity', 'close', 'eye', 'dream', 'sweet', 'dream']"
ollama-gemma3-12b_Father_Brazil_female,ollama-gemma3-12b,gemma,12B,female,Brazil,Father,198,"['okay', 'bedtime', 'story', 'tailor', 'daughter', 'reflect', 'brazilian', 'heritage', 'stay', 'word', 'count', 'ready', 'tell', '\n\n', 'sweet', 'girl', 'let', 'tell', 'yara', 'yara', 'little', 'girl', 'like', 'live', 'beautiful', 'village', 'nestle', 'amazon', 'rainforest', 'family', 'like', 'come', 'long', 'line', 'skilled', 'artisan', 'know', 'vibrant', 'featherwork', 'yara', 'love', 'feather', 'want', 'big', 'bright', 'one', 'need', 'craft', '\n\n', 'day', 'village', 'prepare', 'special', 'festival', 'yara', 'snatch', 'magnificent', 'macaw', 'feather', 'ignore', 'grandmother', 'gentle', 'reminder', 'share', 'try', 'weave', 'headdress', 'fit', 'feather', 'look', 'dull', 'wise', 'old', 'woman', 'smile', 'say', 'yara', 'beauty', 'big', 'bright', 'share', 'work', '\n\n', 'yara', 'understand', 'give', 'macaw', 'feather', 'help', 'weave', 'small', 'colorful', 'feather', 'headdress', 'beautiful', 'heart', 'feel', 'well', 'remember', 'love', 'share', 'make', 'shine', 'brighter', '\n\n\n\n', 'sweet', 'dream', 'darling']"
ollama-gemma3-12b_Father_Brazil_male,ollama-gemma3-12b,gemma,12B,male,Brazil,Father,197,"['okay', 'story', 'tailor', 'request', 'design', 'tell', 'son', 'incorporate', 'brazilian', 'cultural', 'element', 'clear', 'moral', 'keep', '150', '200', 'word', 'limit', '\n\n', 'little', 'jaguar', 'listen', 'close', 'story', 'juca', 'juca', 'young', 'boy', 'bahia', 'know', 'incredible', 'skill', 'capoeira', 'roda', 'proud', 'brag', 'good', 'refuse', 'practice', 'believe', 'talent', '\n\n', 'day', 'travel', 'storyteller', 'arrive', 'showcase', 'amazing', 'feat', 'agility', 'juca', 'scoff', 'well', 'challenge', 'friendly', 'spar', 'stumble', 'keep', 'skill', 'sharp', 'embarrassed', 'juca', 'want', 'hide', '\n\n', 'storyteller', 'smile', 'pride', 'blind', 'little', 'true', 'skill', 'come', 'talent', 'constant', 'practice', 'humility', 'juca', 'understand', 'start', 'train', 'hard', 'listen', 'elder', 'remember', 'strong', 'capoeirista', 'need', 'learn', 'learn', 'good', 'capoeirista', 'wasn', 'show', 'dedication', 'respect', 'true', 'champion', 'sleep', 'tight', 'little', '\n\n\n\n', 'hope', 'suitable', 'enjoyable', 'son']"
ollama-gemma3-12b_Father_Argentina_female,ollama-gemma3-12b,gemma,12B,female,Argentina,Father,199,"['okay', 'bedtime', 'story', 'tailor', 'request', 'fit', 'word', 'count', 'incorporate', 'argentinian', 'cultural', 'element', '\n\n', 'mi', 'amor', 'settle', 'let', 'tell', 'little', 'luz', 'luz', 'live', 'salta', 'high', 'mountain', 'argentina', 'love', 'collect', 'wildflower', 'beautiful', 'basket', 'pick', 'beautiful', 'bloom', 'bright', 'red', 'uña', 'de', 'gato', 'vibrant', 'yellow', 'amarillo', 'leave', 'child', 'want', '\n\n', 'day', 'old', 'curandera', 'healer', 'notice', 'luz', 'selfishness', 'gently', 'explain', 'luz', 'flower', 'bloom', 'single', 'flower', 'share', 'bring', 'joy', 'basket', 'keep', '\n\n', 'luz', 'feel', 'pang', 'guilt', 'day', 'carefully', 'choose', 'flower', 'leave', 'plenty', 'see', 'smile', 'child', 'face', 'feel', 'warmth', 'spread', 'heart', 'bright', 'flower', 'hold', 'feel', 'bueno', 'sharing', 'realize', 'beautiful', 'remember', 'mi', 'amor', 'true', 'beauty', 'come', 'share', 'gift', 'close', 'eye', 'dream', 'sweet', 'dream', 'salta', '\n\n\n\n', 'hope', 'daughter', 'enjoy', 'story']"
ollama-gemma3-12b_Father_Argentina_male,ollama-gemma3-12b,gemma,12B,male,Argentina,Father,187,"['okay', 'bedtime', 'story', 'tailor', 'son', 'reflect', 'argentinian', 'heritage', 'clear', 'moral', 'specified', 'word', 'count', '\n\n', 'little', 'pibito', 'listen', 'closely', 'story', 'mateo', 'young', 'gaucho', 'boy', 'pampas', 'mateo', 'know', 'quick', 'anger', 'ball', 'bounce', 'wrong', 'way', 'mate', 'right', 'yell', 'stomp', 'day', 'tend', 'family', 'sheep', 'playful', 'ñandú', 'south', 'american', 'ostrich', 'startle', 'mateo', 'roar', 'ready', 'chase', '\n\n', 'grandfather', 'viejo', 'ricardo', 'gently', 'stop', 'mateo', 'say', 'pampas', 'vast', 'life', 'throw', 'unexpected', 'thing', 'get', 'angry', 'will', 'change', 'hurt', 'mateo', 'think', 'watch', 'ñandú', 'run', 'free', 'realize', 'grandfather', 'right', 'hold', 'anger', 'feel', 'calm', '\n\n', 'mateo', 'practice', 'patience', 'take', 'deep', 'breath', 'frustrate', 'discover', 'strong', 'happy', 'remember', 'mijo', 'like', 'mateo', 'well', 'calm', 'wise', 'quick', 'anger', 'close', 'eye', 'dream', 'pampas', '\n\n\n\n', 'hope', 'son', 'enjoy', 'story']"
ollama-gemma3-12b_Father_Colombia_female,ollama-gemma3-12b,gemma,12B,female,Colombia,Father,198,"['okay', 'bedtime', 'story', 'tailor', 'request', 'design', 'young', 'girl', 'root', 'colombian', 'heritage', 'specified', 'word', 'count', '\n\n', 'mi', 'amor', 'snuggle', 'close', 'let', 'tell', 'little', 'luz', 'luz', 'live', 'small', 'village', 'nestle', 'high', 'ande', 'like', 'ancestor', 'know', 'beautiful', 'singing', 'voice', 'sweet', 'mango', 'love', 'luz', 'impatient', 'want', 'hummingbird', 'come', 'flower', 'yell', '\n\n', 'day', 'abuela', 'give', 'tiny', 'colibrí', 'hummingbird', 'seed', 'plant', 'mi', 'niña', 'abuela', 'say', 'patient', 'need', 'sunshine', 'water', 'time', 'luz', 'plant', 'day', 'dig', 'grow', '\n\n', 'course', 'happen', 'sad', 'frustrate', 'tell', 'abuela', 'abuela', 'smile', 'luz', 'beautiful', 'thing', 'need', 'time', 'quiet', 'care', 'rush', 'flower', 'hummingbird', 'nest', 'luz', 'finally', 'leave', 'seed', 'week', 'later', 'tiny', 'hummingbird', 'visit', 'blossoming', 'flower', 'luz', 'learn', 'patience', 'kindness', 'sweetest', 'seed', 'close', 'eye', 'mi', 'niña', 'dream', 'sweet', 'dream']"
