metric,narrator_role,child_label,dyad_type,mean,ci_low,ci_high,n
pmi_role_score,female,daughter,same-gender,1.6647963015603462,1.503423921566079,1.8525976513932387,2775
pmi_role_score,female,son,cross-gender,-1.7259342402701847,-1.950374192765489,-1.4884160469823486,2776
pmi_role_score,male,daughter,cross-gender,1.1856880574549984,0.9825521844060361,1.3910025242320994,2213
pmi_role_score,male,son,same-gender,-2.9634619801631263,-3.230372341155839,-2.694975869076778,2215
pmi_domain_score,female,daughter,same-gender,1.059086296574751,0.9661520360560157,1.1566936337451226,2775
pmi_domain_score,female,son,cross-gender,-1.1054028480095894,-1.3065938553241954,-0.9099380139613221,2776
pmi_domain_score,male,daughter,cross-gender,0.5114574606288306,0.3750058144598932,0.6428135014237467,2213
pmi_domain_score,male,son,same-gender,-1.9440630967402575,-2.179618497926886,-1.6867173880722164,2215
pmi_trait_score,female,daughter,same-gender,0.3017998640390344,0.2736014486408733,0.331181648968996,2775
pmi_trait_score,female,son,cross-gender,0.14243379069126463,0.11666059580697866,0.16760974312460197,2776
pmi_trait_score,male,daughter,cross-gender,0.21748203102183425,0.18930553651586285,0.2466130518395774,2213
pmi_trait_score,male,son,same-gender,-0.00864664458505592,-0.03476056923338604,0.01716452470510632,2215
