model_key,country,narrator_role,recipient_gender_condition,axis,Y_F,Y_M,T,n_stories,narrator_gender,model_family_version_group,model_size_rank,exposure_E,low_confidence
ollama-llama31-8b,United States,Father,female,role,22,6,78,1,male,llama3,3.0,358.97435897435895,True
ollama-llama31-8b,United States,Father,female,domain,0,0,78,1,male,llama3,3.0,0.0,True
ollama-llama31-8b,United States,Father,female,trait,0,0,78,1,male,llama3,3.0,0.0,True
ollama-llama32-1b,United States,Father,female,role,1,0,12,1,male,llama3,1.0,83.33333333333333,True
ollama-llama32-1b,United States,Father,female,domain,0,0,12,1,male,llama3,1.0,0.0,True
ollama-llama32-1b,United States,Father,female,trait,0,0,12,1,male,llama3,1.0,0.0,True
ollama-llama32-3b,United States,Father,female,role,5,19,82,1,male,llama3,2.0,292.6829268292683,True
ollama-llama32-3b,United States,Father,female,domain,1,0,82,1,male,llama3,2.0,12.195121951219512,True
ollama-llama32-3b,United States,Father,female,trait,0,1,82,1,male,llama3,2.0,12.195121951219512,True
ollama-llama3-70b,United States,Father,female,role,16,10,96,1,male,llama3,4.0,270.8333333333333,True
ollama-llama3-70b,United States,Father,female,domain,2,0,96,1,male,llama3,4.0,20.833333333333332,True
ollama-llama3-70b,United States,Father,female,trait,0,1,96,1,male,llama3,4.0,10.416666666666666,True
ollama-mistral-nemo,United States,Father,female,role,5,7,108,1,male,mistral,2.0,111.11111111111111,True
ollama-mistral-nemo,United States,Father,female,domain,2,0,108,1,male,mistral,2.0,18.51851851851852,True
ollama-mistral-nemo,United States,Father,female,trait,0,1,108,1,male,mistral,2.0,9.25925925925926,True
ollama-mistral-7b,United States,Father,female,role,14,2,111,1,male,mistral,1.0,144.14414414414415,True
ollama-mistral-7b,United States,Father,female,domain,2,0,111,1,male,mistral,1.0,18.01801801801802,True
ollama-mistral-7b,United States,Father,female,trait,0,0,111,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,United States,Father,female,role,8,10,94,1,male,qwen25,2.0,191.48936170212767,True
ollama-qwen25-7b,United States,Father,female,domain,4,0,94,1,male,qwen25,2.0,42.5531914893617,True
ollama-qwen25-7b,United States,Father,female,trait,0,0,94,1,male,qwen25,2.0,0.0,True
ollama-qwen25-3b,United States,Father,female,role,20,8,98,1,male,qwen25,1.0,285.7142857142857,True
ollama-qwen25-3b,United States,Father,female,domain,8,2,98,1,male,qwen25,1.0,102.04081632653062,True
ollama-qwen25-3b,United States,Father,female,trait,0,0,98,1,male,qwen25,1.0,0.0,True
ollama-gemma2-2b,United States,Father,female,role,8,11,111,1,male,gemma,1.0,171.17117117117118,True
ollama-gemma2-2b,United States,Father,female,domain,2,0,111,1,male,gemma,1.0,18.01801801801802,True
ollama-gemma2-2b,United States,Father,female,trait,1,0,111,1,male,gemma,1.0,9.00900900900901,True
ollama-gemma3-12b,United States,Father,female,role,8,17,112,1,male,gemma,2.0,223.21428571428572,True
ollama-gemma3-12b,United States,Father,female,domain,1,0,112,1,male,gemma,2.0,8.928571428571429,True
ollama-gemma3-12b,United States,Father,female,trait,1,0,112,1,male,gemma,2.0,8.928571428571429,True
ollama-gemma3-27b,United States,Father,female,role,7,8,97,1,male,gemma,3.0,154.63917525773195,True
ollama-gemma3-27b,United States,Father,female,domain,0,0,97,1,male,gemma,3.0,0.0,True
ollama-gemma3-27b,United States,Father,female,trait,2,1,97,1,male,gemma,3.0,30.927835051546392,True
ollama-gptoss-20b,United States,Father,female,role,8,5,88,1,male,gptoss,1.0,147.72727272727272,True
ollama-gptoss-20b,United States,Father,female,domain,1,1,88,1,male,gptoss,1.0,22.727272727272727,True
ollama-gptoss-20b,United States,Father,female,trait,0,2,88,1,male,gptoss,1.0,22.727272727272727,True
ollama-llama31-8b,United States,Father,male,role,8,9,87,1,male,llama3,3.0,195.4022988505747,True
ollama-llama31-8b,United States,Father,male,domain,2,0,87,1,male,llama3,3.0,22.988505747126435,True
ollama-llama31-8b,United States,Father,male,trait,0,2,87,1,male,llama3,3.0,22.988505747126435,True
ollama-llama32-3b,United States,Father,male,role,12,4,89,1,male,llama3,2.0,179.77528089887642,True
ollama-llama32-3b,United States,Father,male,domain,1,0,89,1,male,llama3,2.0,11.235955056179776,True
ollama-llama32-3b,United States,Father,male,trait,0,0,89,1,male,llama3,2.0,0.0,True
ollama-llama3-70b,United States,Father,male,role,15,10,96,1,male,llama3,4.0,260.4166666666667,True
ollama-llama3-70b,United States,Father,male,domain,1,0,96,1,male,llama3,4.0,10.416666666666666,True
ollama-llama3-70b,United States,Father,male,trait,0,0,96,1,male,llama3,4.0,0.0,True
ollama-mistral-nemo,United States,Father,male,role,7,13,121,1,male,mistral,2.0,165.28925619834712,True
ollama-mistral-nemo,United States,Father,male,domain,2,0,121,1,male,mistral,2.0,16.52892561983471,True
ollama-mistral-nemo,United States,Father,male,trait,0,0,121,1,male,mistral,2.0,0.0,True
ollama-mistral-7b,United States,Father,male,role,9,10,97,1,male,mistral,1.0,195.8762886597938,True
ollama-mistral-7b,United States,Father,male,domain,1,1,97,1,male,mistral,1.0,20.61855670103093,True
ollama-mistral-7b,United States,Father,male,trait,0,0,97,1,male,mistral,1.0,0.0,True
ollama-qwen25-7b,United States,Father,male,role,21,11,77,1,male,qwen25,2.0,415.5844155844156,True
ollama-qwen25-7b,United States,Father,male,domain,4,0,77,1,male,qwen25,2.0,51.94805194805195,True
ollama-qwen25-7b,United States,Father,male,trait,0,0,77,1,male,qwen25,2.0,0.0,True
ollama-qwen25-3b,United States,Father,male,role,13,5,82,1,male,qwen25,1.0,219.5121951219512,True
