id,model_key,model_family,model_params,protagonist_gender,country,person,word_count,tokens
ollama-mistral-nemo_Father_UnitedStates_female,ollama-mistral-nemo,mistral,12B,female,United States,Father,188,"['heart', 'great', 'plain', 'live', 'spirited', 'girl', 'name', 'lily', 'descend', 'generation', 'resilient', 'pioneer', 'summer', 'help', 'grandmother', 'tend', 'vast', 'sunflower', 'field', 'learn', 'ancestor', 'cultivate', 'land', '\n\n', 'day', 'fierce', 'windstorm', 'uproot', 'sturdy', 'sunflower', 'morning', 'lily', 'find', 'sway', 'amidst', 'flattened', 'sea', 'green', 'rush', 'protect', 'grandma', 'stop', 'let', 'nature', 'run', 'course', 'child', '\n\n', 'day', 'pass', 'lone', 'sunflower', 'bloom', 'beautifully', 'peer', 'lie', 'fall', 'storm', 'come', 'time', 'heavy', 'rain', 'single', 'sunflower', 'bend', 'low', 'seemingly', 'beat', '\n\n', 'night', 'lily', 'find', 'grandma', 'window', 'watch', 'sunflower', 'remember', 'lily', 'say', 'softly', 'stand', 'bloom', 'weather', 'storm', 'family', 'strength', '\n\n', 'morning', 'discover', 'sunflower', 'survive', 'petal', 'glisten', 'rainwater', 'lily', 'know', 'strong', 'mean', 'fall', 'mean', 'stand', 'tall', 'storm', 'carry', 'lesson', 'sunrise', 'sunset', 'life']"
ollama-mistral-nemo_Father_UnitedStates_male,ollama-mistral-nemo,mistral,12B,male,United States,Father,207,"['heart', 'new', 'orleans', 'live', 'curious', 'boy', 'name', 'jesse', 'love', 'explore', 'french', 'quarter', 'listen', 'jazz', 'learn', 'city', 'history', 'day', 'discover', 'old', 'forget', 'trumpet', 'grandmother', 'attic', '\n\n', 'jesse', 'blow', 'make', 'horrid', 'noise', 'echo', 'house', 'grandmother', 'mémé', 'smile', 'say', 'take', 'patience', 'cher', 'will', 'sound', 'like', 'louis', 'armstrong', 'overnight', 'jesse', 'practice', 'day', 'grow', 'frustrated', 'slow', 'progress', 'throw', 'trumpet', 'room', 'evening', 'anger', '\n\n', 'mémé', 'pick', 'trumpet', 'hand', 'share', 'patience', 'virtue', 'jesse', 'look', 'city', 'build', 'day', 'take', 'time', 'learn', 'grow', 'beautiful', '\n\n', 'jesse', 'understand', 'start', 'practice', 'slowly', 'improve', 'month', 'later', 'mémé', 'proud', 'hear', 'jesse', 'play', 'familiar', 'tune', 'saint', 'march', 'jesse', 'remember', 'good', 'thing', 'time', '\n\n', 'dear', 'son', 'remember', 'patience', 'key', 'learn', 'grow', 'like', 'new', 'orleans', 'wonderful', 'time', 'effort', 'close', 'eye', 'let', 'music', 'french', 'quarter', 'lull', 'sleep', 'goodnight']"
ollama-mistral-nemo_Father_Canada_female,ollama-mistral-nemo,mistral,12B,female,Canada,Father,130,"['heart', 'canada', 'vast', 'forest', 'live', 'young', 'inuit', 'girl', 'name', 'apika', 'know', 'sparkle', 'eye', 'mirror', 'northern', 'light', 'laughter', 'echo', 'like', 'playful', 'seal', 'love', 'watch', '\n\n', 'day', 'apika', 'find', 'injure', 'loon', 'bird', 'wing', 'catch', 'fishing', 'line', 'despite', 'know', 'late', 'community', 'ice', 'feast', 'stay', 'free', 'bird', 'gently', 'arrive', 'see', 'apika', 'heal', 'loon', 'fly', 'understand', 'delay', '\n\n', 'moral', 'story', 'time', 'kindness', 'mean', 'little', 'late', 'make', 'sure', 'alright', 'way']"
ollama-mistral-nemo_Father_Brazil_male,ollama-mistral-nemo,mistral,12B,male,Brazil,Father,199,"['meet', 'tiago', 'lively', 'boy', 'vibrant', 'street', 'rio', 'de', 'janeiro', 'day', 'school', 'rush', 'home', 'play', 'beloved', 'instrument', 'berimbau', 'learn', 'grandfather', 'old', 'record', 'dream', 'famous', 'musician', 'like', 'idol', 'luizinho', '\n\n', 'evening', 'carnival', 'tiago', 'find', 'amidst', 'lively', 'parade', 'notice', 'old', 'man', 'play', 'tambourine', 'beautifully', 'tiago', 'approach', 'play', 'teach', '\n\n', 'old', 'man', 'smile', 'glad', 'like', 'teach', 'child', 'know', 'rhythm', '\n\n', 'tiago', 'feel', 'dishearten', 'thank', 'later', 'see', 'old', 'man', 'struggle', 'fix', 'shoe', 'lace', 'tiago', 'kneel', 'tie', 'old', 'man', 'look', 'tiago', 'unique', 'rhythm', 'simple', 'important', '\n\n', 'day', 'forward', 'tiago', 'understand', 'moral', 'special', 'rhythm', 'contribute', 'life', 'grand', 'symphony', 'appreciate', 'respect', '\n\n', 'close', 'eye', 'tiago', 'let', 'rhythm', 'today', 'story', 'lull', 'peaceful', 'sleep', 'sweet', 'dream', 'son']"
ollama-mistral-nemo_Father_Argentina_female,ollama-mistral-nemo,mistral,12B,female,Argentina,Father,189,"['heart', 'argentina', 'live', 'spirited', 'girl', 'name', 'isabella', 'know', 'far', 'wide', 'laughter', 'chase', 'away', 'cloud', 'gloomiest', 'day', 'year', 'village', 'hold', 'festival', 'honor', 'ancient', 'tradition', 'gaucho', 'de', 'oro', 'rider', 'show', 'skill', '\n\n', 'isabella', 'long', 'participate', 'discourage', 'say', 'girl', 'ride', 'like', 'gauchos', 'dishearten', 'abuela', 'tell', 'hija', 'heart', 'braver', 'horse', 'believe', '\n\n', 'day', 'festival', 'isabella', 'saddle', 'mare', 'luna', 'crowd', 'whisper', 'enter', 'ring', 'obstacle', 'luna', 'soar', 'high', 'hoof', 'barely', 'touch', 'ground', 'crowd', 'cheer', 'awe', '\n\n', 'judge', 'announce', 'year', 'gaucho', 'de', 'oro', 'go', 'isabella', 'village', 'erupt', 'joy', 'day', 'forward', 'doubt', 'girl', 'ride', 'like', 'gaucho', '\n\n', 'moral', 'story', 'mi', 'hija', 'let', 'tell', 'believe', 'heart', 'world', 'follow', 'suit']"
ollama-mistral-nemo_Father_Argentina_male,ollama-mistral-nemo,mistral,12B,male,Argentina,Father,194,"['heart', 'argentine', 'pampa', 'live', 'young', 'gaucho', 'name', 'pablo', 'family', 'skilled', 'horse', 'whisperer', 'know', 'far', 'wide', 'gentle', 'touch', 'kind', 'heart', 'creature', '\n\n', 'day', 'pablo', 'find', 'injure', 'bird', 'broken', 'wing', 'instead', 'leave', 'fend', 'carefully', 'pick', 'take', 'home', 'nurse', 'bird', 'health', 'feed', 'worm', 'keep', 'warm', 'fireplace', 'night', '\n\n', 'day', 'turn', 'week', 'pablo', 'patience', 'pay', 'bird', 'regain', 'strength', 'ready', 'fly', 'morning', 'pablo', 'gently', 'place', 'bird', 'windowsill', 'open', 'window', 'whisper', 'fly', 'little', 'friend', '\n\n', 'bird', 'hesitate', 'take', 'flight', 'soar', 'high', 'pampas', 'pablo', 'watch', 'joy', 'disappear', 'sight', 'day', 'forward', 'pablo', 'know', 'pablo', 'el', 'curador', 'healer', '\n\n', 'remember', 'hijo', 'mío', 'pablo', 'father', 'kindness', 'beget', 'kindness', 'heal', 'heal', 'young', 'pablo', 'grow', 'know', 'action', 'difference', 'world', 'gentle', 'deed', 'time']"
ollama-mistral-nemo_Father_UnitedArabEmirates_female,ollama-mistral-nemo,mistral,12B,female,United Arab Emirates,Father,186,"['heart', 'abu', 'dhabi', 'live', 'spirited', 'girl', 'name', 'layla', 'love', 'explore', 'bustling', 'souks', 'grandmother', 'learn', 'rich', 'emirati', 'heritage', 'day', 'layla', 'find', 'old', 'forget', 'date', 'palm', 'seed', 'grandmother', 'garden', 'plant', 'know', 'grow', 'grandmother', 'encourage', '\n\n', 'layla', 'nurture', 'seed', 'tenderly', 'day', 'turn', 'week', 'sign', 'growth', 'dishearten', 'consider', 'throw', 'away', 'remember', 'grandmother', 'word', 'persevere', 'finally', 'month', 'tiny', 'sprout', 'emerge', 'layla', 'rejoice', 'share', 'excitement', 'family', '\n\n', 'harsh', 'winter', 'night', 'sudden', 'frost', 'threaten', 'fragile', 'sapling', 'layla', 'rush', 'wrap', 'coat', 'little', 'plant', 'father', 'watch', 'afar', 'smile', 'morning', 'plant', 'stand', 'leaf', 'ting', 'frost', 'layla', 'beam', 'proudly', '\n\n', 'day', 'forward', 'date', 'palm', 'thrive', 'layla', 'care', 'grow', 'tall', 'strong', 'bear', 'sweet', 'fruit', 'season', 'see', 'layla', 'remember', 'grandmother', 'wisdom', 'patience', 'care', 'harsh', 'time', 'beauty', 'bloom']"
ollama-mistral-nemo_Father_UnitedArabEmirates_male,ollama-mistral-nemo,mistral,12B,male,United Arab Emirates,Father,195,"['time', 'bustling', 'city', 'dubai', 'live', 'young', 'boy', 'name', 'ali', 'ali', 'know', 'far', 'wide', 'speed', 'racetrack', 'eagerness', 'help', 'heart', 'fast', 'foot', '\n\n', 'day', 'win', 'school', '100', 'meter', 'dash', 'ali', 'notice', 'elderly', 'man', 'struggle', 'heavy', 'bag', 'market', 'nearby', 'second', 'thought', 'ali', 'rush', 'offer', 'help', 'old', 'man', 'surprised', 'grateful', 'hand', 'bag', '\n\n', 'ali', 'classmate', 'hamza', 'watch', 'afar', 'ask', 'later', 'practice', 'victory', 'lap', '\n\n', 'ali', 'smile', 'win', 'race', 'fun', 'help', 'feel', 'well', 'plus', 'run', 'fast', 'today', 'day', 'easy', '\n\n', 'day', 'news', 'ali', 'kindness', 'spread', 'school', 'instead', 'jeer', 'slow', 'earn', 'respect', 'new', 'friend', 'hamza', 'start', 'help', '\n\n', 'moral', 'speed', 'valuable', 'kindness', 'priceless', 'time', 'help', 'need', 'ali', 'slow', 'surely', 'enrich', 'heart', 'life']"
ollama-mistral-nemo_Father_SaudiArabia_female,ollama-mistral-nemo,mistral,12B,female,Saudi Arabia,Father,198,"['heart', 'saudi', 'arabia', 'golden', 'sand', 'live', 'spirited', 'young', 'girl', 'name', 'layla', 'know', 'far', 'wide', 'infectious', 'laughter', 'secret', 'love', 'explore', 'sunset', '\n\n', 'evening', 'layla', 'wander', 'far', 'usual', 'unknown', 'desert', 'valley', 'twilight', 'deepen', 'realize', 'lose', 'panic', 'surge', 'notice', 'north', 'star', 'wink', 'remember', 'father', 'word', 'north', 'star', 'guide', 'home', 'layla', 'follow', 'confidently', '\n\n', 'soon', 'stumble', 'hidden', 'oasis', 'wise', 'old', 'camel', 'name', 'karim', 'live', 'see', 'layla', 'distress', 'karim', 'offer', 'water', 'advice', 'child', 'courage', 'absence', 'fear', 'strength', 'face', 'remember', 'stay', 'true', 'path', 'bring', 'light', 'darkness', '\n\n', 'embolden', 'karim', 'word', 'layla', 'continue', 'home', 'north', 'star', 'lead', 'safely', 'dawn', 'break', 'parent', 'relieved', 'proud', 'embrace', 'tightly', '\n\n', 'day', 'forward', 'layla', 'face', 'challenge', 'courage', 'forget', 'lesson', 'desert', 'stay', 'true', 'path', 'trust', 'look', 'guide', 'light']"
ollama-mistral-nemo_Father_SaudiArabia_male,ollama-mistral-nemo,mistral,12B,male,Saudi Arabia,Father,164,"['time', 'bustling', 'city', 'riyadh', 'live', 'curious', 'boy', 'name', 'khalid', 'evening', 'watch', 'father', 'weave', 'beautiful', 'pattern', 'carpet', 'rooftop', 'workshop', 'khalid', 'dream', 'create', 'intricate', 'design', 'find', 'challenge', '\n\n', 'day', 'khalid', 'decide', 'practice', 'weaving', 'work', 'diligently', 'design', 'lopsided', 'messy', 'frustrated', 'throw', 'carpet', 'away', 'go', 'bed', 'feel', 'defeat', '\n\n', 'night', 'allah', 'send', 'gentle', 'breeze', 'open', 'window', 'whisper', 'khalid', 'ear', 'patience', 'young', 'perfection', 'take', 'time', 'khalid', 'wake', 'find', 'perfect', 'symmetrical', 'feather', 'arabian', 'oryx', 'pillow', 'gift', 'allah', '\n\n', 'khalid', 'understand', 'perfection', 'rush', 'resume', 'weaving', 'lesson', 'renew', 'patience', 'determination', 'soon', 'carpet', 'beautiful', 'father', 'khalid', 'give', 'try', 'remind', 'daily', 'moral', 'patience', 'bring', 'perfection']"
