id,axis,Y_F,Y_M,T,country,narrator_role,narrator_gender,recipient_gender_condition,recipient_gender_label,model_key,model_family_version_group,H_exposure
ollama-llama31-8b_Father_UnitedStates_female,role,22,6,78,United States,Father,male,female,daughter,ollama-llama31-8b,llama3,28
ollama-llama31-8b_Father_UnitedStates_female,domain,0,0,78,United States,Father,male,female,daughter,ollama-llama31-8b,llama3,0
ollama-llama31-8b_Father_UnitedStates_female,trait,0,0,78,United States,Father,male,female,daughter,ollama-llama31-8b,llama3,0
ollama-llama32-1b_Father_UnitedStates_female,role,1,0,12,United States,Father,male,female,daughter,ollama-llama32-1b,llama3,1
ollama-llama32-1b_Father_UnitedStates_female,domain,0,0,12,United States,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-1b_Father_UnitedStates_female,trait,0,0,12,United States,Father,male,female,daughter,ollama-llama32-1b,llama3,0
ollama-llama32-3b_Father_UnitedStates_female,role,5,19,82,United States,Father,male,female,daughter,ollama-llama32-3b,llama3,24
ollama-llama32-3b_Father_UnitedStates_female,domain,1,0,82,United States,Father,male,female,daughter,ollama-llama32-3b,llama3,1
ollama-llama32-3b_Father_UnitedStates_female,trait,0,1,82,United States,Father,male,female,daughter,ollama-llama32-3b,llama3,1
ollama-llama3-70b_Father_UnitedStates_female,role,16,10,96,United States,Father,male,female,daughter,ollama-llama3-70b,llama3,26
ollama-llama3-70b_Father_UnitedStates_female,domain,2,0,96,United States,Father,male,female,daughter,ollama-llama3-70b,llama3,2
ollama-llama3-70b_Father_UnitedStates_female,trait,0,1,96,United States,Father,male,female,daughter,ollama-llama3-70b,llama3,1
ollama-mistral-nemo_Father_UnitedStates_female,role,5,7,108,United States,Father,male,female,daughter,ollama-mistral-nemo,mistral,12
ollama-mistral-nemo_Father_UnitedStates_female,domain,2,0,108,United States,Father,male,female,daughter,ollama-mistral-nemo,mistral,2
ollama-mistral-nemo_Father_UnitedStates_female,trait,0,1,108,United States,Father,male,female,daughter,ollama-mistral-nemo,mistral,1
ollama-mistral-7b_Father_UnitedStates_female,role,14,2,111,United States,Father,male,female,daughter,ollama-mistral-7b,mistral,16
ollama-mistral-7b_Father_UnitedStates_female,domain,2,0,111,United States,Father,male,female,daughter,ollama-mistral-7b,mistral,2
ollama-mistral-7b_Father_UnitedStates_female,trait,0,0,111,United States,Father,male,female,daughter,ollama-mistral-7b,mistral,0
ollama-qwen25-7b_Father_UnitedStates_female,role,8,10,94,United States,Father,male,female,daughter,ollama-qwen25-7b,qwen25,18
ollama-qwen25-7b_Father_UnitedStates_female,domain,4,0,94,United States,Father,male,female,daughter,ollama-qwen25-7b,qwen25,4
ollama-qwen25-7b_Father_UnitedStates_female,trait,0,0,94,United States,Father,male,female,daughter,ollama-qwen25-7b,qwen25,0
ollama-qwen25-3b_Father_UnitedStates_female,role,20,8,98,United States,Father,male,female,daughter,ollama-qwen25-3b,qwen25,28
ollama-qwen25-3b_Father_UnitedStates_female,domain,8,2,98,United States,Father,male,female,daughter,ollama-qwen25-3b,qwen25,10
ollama-qwen25-3b_Father_UnitedStates_female,trait,0,0,98,United States,Father,male,female,daughter,ollama-qwen25-3b,qwen25,0
ollama-gemma2-2b_Father_UnitedStates_female,role,8,11,111,United States,Father,male,female,daughter,ollama-gemma2-2b,gemma,19
ollama-gemma2-2b_Father_UnitedStates_female,domain,2,0,111,United States,Father,male,female,daughter,ollama-gemma2-2b,gemma,2
