id,model_key,model_family,model_params,protagonist_gender,country,person,word_count,tokens
ollama-qwen25-3b_Father_UnitedStates_female,ollama-qwen25-3b,qwen,3B,female,United States,Father,200,"['family', 'proud', 'pass', 'tale', 'great', 'grandfather', 'name', 'juan', 'come', 'mexico', 'build', 'life', 'ohio', 'cold', 'winter', 'evening', 'juan', 'find', 'far', 'home', 'work', 'shelter', 'determined', 'family', 'safe', 'fed', 'start', 'work', 'chef', 'local', 'diner', 'hard', 'work', 'keep', 'family', 'warm', 'gain', 'respect', 'fellow', 'worker', '\n\n', 'day', 'wealthy', 'patron', 'restaurant', 'offer', 'juan', 'position', 'lavish', 'hotel', 'manage', 'kitchen', 'renovation', 'task', 'impossible', 'cook', 'sous', 'chef', 'juan', 'see', 'opportunity', 'prove', 'diligently', 'train', 'community', 'youth', 'cooking', 'teach', 'skill', 'need', 'future', 'job', '\n\n', 'action', 'earn', 'position', 'hotel', 'gratitude', 'work', 'include', 'family', 'story', 'teach', 'share', 'talent', 'resource', 'strengthen', 'position', 'help', 'find', 'strength', '\n\n', 'version', '180', 'word', 'stay', 'request', 'range']"
ollama-qwen25-3b_Father_UnitedStates_male,ollama-qwen25-3b,qwen,3B,male,United States,Father,168,"['time', 'young', 'man', 'name', 'jackson', 'live', 'small', 'town', 'united', 'states', 'jackson', 'family', 'rich', 'culture', 'generation', 'despite', 'grow', 'curiosity', 'different', 'culture', 'jackson', 'feel', 'fit', 'peer', 'come', 'background', 'different', '\n\n', 'day', 'wander', 'old', 'bookshop', 'jackson', 'discover', 'collection', 'story', 'world', 'story', 'unique', 'wisdom', 'inspire', 'tale', 'jackson', 'decide', 'learn', 'different', 'culture', 'begin', 'attend', 'cultural', 'festival', 'town', '\n\n', 'effort', 'jackson', 'gain', 'knowledge', 'open', 'heart', 'new', 'experience', 'people', 'parent', 'proud', 'embrace', 'heritage', 'new', 'way', 'respect', 'diversity', '\n\n', 'moral', 'lesson', 'welcome', 'difference', 'world', 'open', 'rich', 'life', 'fill', 'love', 'understanding']"
ollama-qwen25-3b_Father_Canada_female,ollama-qwen25-3b,qwen,3B,female,Canada,Father,159,"['thank', 'guideline', 'ensure', 'story', 'specified', 'word', 'count', '150', '200', 'word', '\n\n', 'time', 'charming', 'village', 'nestle', 'lush', 'forest', 'canada', 'live', 'young', 'girl', 'name', 'elara', 'elara', 'know', 'vibrant', 'spirit', 'curious', 'mind', 'day', 'find', 'old', 'crack', 'map', 'magical', 'power', 'map', 'elara', 'embark', 'thrilling', 'adventure', 'vast', 'wilderness', 'meet', 'friendly', 'creature', 'solve', 'puzzle', 'way', '\n\n', 'journey', 'elara', 'learn', 'true', 'treasure', 'merely', 'gold', 'jewel', 'adventure', 'lead', 'growth', 'friendship', 'lesson', 'stay', 'return', 'home', 'eager', 'share', 'tale', 'wonder', 'wisdom', 'family', '\n\n', 'moral', 'story', 'embrace', 'unknown', 'lead', 'discovery', 'personal', 'growth', 'deep', 'connection']"
ollama-qwen25-3b_Father_Canada_male,ollama-qwen25-3b,qwen,3B,male,Canada,Father,157,"['family', 'proud', 'canadian', 'live', 'jack', 'love', 'explore', 'culture', 'rich', 'history', 'day', 'find', 'old', 'map', 'hide', 'attic', 'reveal', 'story', 'brave', 'ancestor', 'jack', 'decide', 'learn', 'tale', 'join', 'community', 'historical', 'society', '\n\n', 'jack', 'delve', 'deeply', 'research', 'notice', 'young', 'member', 'miss', 'fun', 'rely', 'map', 'seek', 'real', 'life', 'adventure', 'teach', 'learning', 'valuable', 'experience', '\n\n', 'jack', 'share', 'finding', 'society', 'encourage', 'connect', 'heritage', 'personal', 'experience', 'read', 'organize', 'special', 'event', 'member', 'engage', 'traditional', 'craft', 'dance', 'instead', 'look', 'old', 'map', '\n\n', 'help', 'understand', 'appreciate', 'culture', 'well', 'jack', 'learn', 'research', 'important', 'real', 'life', 'connection', 'strengthen', 'understanding', 'joy']"
ollama-qwen25-3b_Father_Mexico_female,ollama-qwen25-3b,qwen,3B,female,Mexico,Father,93,"['family', 'celebrate', 'rich', 'culture', 'mexico', 'main', 'character', 'marisol', 'love', 'sing', 'traditional', 'song', 'festival', 'day', 'celebration', 'accidentally', 'drop', 'favorite', 'song', 'book', 'cry', 'feel', 'sad', 'see', 'friend', 'family', 'gather', 'comfort', 'help', 'mend', 'torn', 'page', 'teach', 'share', 'joy', 'find', 'joy', 'share', 'help', 'marisol', 'learn', 'song', 'see', 'community', 'come', 'support']"
ollama-qwen25-3b_Father_Mexico_male,ollama-qwen25-3b,qwen,3B,male,Mexico,Father,143,"['heart', 'mexico', 'live', 'young', 'boy', 'name', 'miguel', 'grandmother', 'tell', 'story', 'rich', 'culture', 'pass', 'generation', 'day', 'play', 'friend', 'town', 'square', 'miguel', 'see', 'old', 'broken', 'statue', 'saint', 'care', 'year', '\n\n', 'feel', 'proud', 'family', 'heritage', 'miguel', 'decide', 'clean', 'repair', 'statue', 'tool', 'find', 'home', 'water', 'garden', 'miguel', 'work', 'hard', 'restore', 'statue', 'glory', 'grandmother', 'proud', 'see', 'beautifully', 'statue', 'look', 'clean', '\n\n', 'moral', 'small', 'act', 'care', 'heritage', 'big', 'difference', 'like', 'miguel', 'care', 'family', 'legacy', 'keep', 'strong', 'beautiful']"
ollama-qwen25-3b_Father_Brazil_female,ollama-qwen25-3b,qwen,3B,female,Brazil,Father,196,"['family', 'rich', 'tapestry', 'brazilian', 'culture', 'live', 'young', 'girl', 'name', 'maria', 'bear', 'são', 'paulo', 'inherit', 'ancestor', 'love', 'music', 'dance', 'generation', 'rainy', 'day', 'maria', 'invite', 'join', 'classmate', 'community', 'center', 'hold', 'free', 'dance', 'class', '\n\n', 'feel', 'shy', 'maria', 'watch', 'take', 'stage', 'try', 'different', 'move', 'inspire', 'grandmother', 'story', 'dancing', 'day', 'decide', 'try', 'despite', 'fear', 'week', 'practice', 'encouragement', 'friend', 'maria', 'take', 'deep', 'breath', 'join', 'classmate', 'dance', 'floor', '\n\n', 'maria', 'find', 'master', 'new', 'dance', 'discover', 'hide', 'talent', 'courage', 'allow', 'initial', 'shyness', 'join', 'joy', 'confidence', 'story', 'learn', 'untapped', 'potential', 'wait', 'discover', 'feel', 'like', 'outsider', 'shy', '\n\n', 'moral', 'lesson', 'maria', 'learn', 'powerful', 'reminder', 'embrace', 'new', 'experience', 'matter', 'daunting', 'true', 'growth', 'happiness', 'lie']"
ollama-qwen25-3b_Father_Brazil_male,ollama-qwen25-3b,qwen,3B,male,Brazil,Father,93,"['time', 'village', 'deep', 'brazil', 'lush', 'forest', 'live', 'júlio', 'love', 'explore', 'nook', 'family', 'vast', 'property', 'day', 'stumble', 'old', 'map', 'hide', 'floorboard', 'intrigue', 'piece', 'clue', 'find', 'ancient', 'treasure', 'chest', 'fill', 'valuable', 'artifact', '\n\n', 'moral', 'lesson', 'gem', 'treasure', 'come', 'responsibility', 'wisely', 'good', 'cause', 'júlio', 'choose', 'donate', 'treasure', 'village', 'instead', 'keep', 'learn', 'sharing', 'care']"
ollama-qwen25-3b_Father_Argentina_female,ollama-qwen25-3b,qwen,3B,female,Argentina,Father,206,"['time', 'bustling', 'city', 'far', 'buenos', 'aire', 'live', 'adventurous', 'girl', 'name', 'rosa', 'rosa', 'know', 'curious', 'eye', 'hand', 'touch', 'world', 'care', 'sunny', 'afternoon', 'discover', 'old', 'forget', 'book', 'hide', 'dusty', 'shelf', 'local', 'library', 'inside', 'find', 'story', 'hero', 'care', 'deeply', 'community', '\n\n', 'rosa', 'heart', 'race', 'read', 'tale', 'kind', 'baker', 'share', 'bread', 'need', 'wise', 'fisherman', 'teach', 'catch', 'right', 'balance', 'catch', 'release', 'fish', 'story', 'leave', 'rosa', 'ponder', 'action', 'mean', 'kind', 'considerate', '\n\n', 'evening', 'city', 'light', 'flicker', 'people', 'shiver', 'blanket', 'rosa', 'decide', 'help', 'make', 'small', 'paper', 'lantern', 'colorful', 'message', 'tie', 'distribute', 'lantern', 'door', 'door', 'hop', 'light', 'night', 'little', 'bit', 'brighter', '\n\n', 'moral', 'story', 'dear', 'child', 'kindness', 'spread', 'like', 'wildfire', 'world', 'share', 'duty', 'individual', 'considerate', 'help', 'possible']"
ollama-qwen25-3b_Father_Argentina_male,ollama-qwen25-3b,qwen,3B,male,Argentina,Father,155,"['family', 'proud', 'tradition', 'storytelling', 'pass', 'great', 'great', 'grandfather', 'argentina', 'main', 'character', 'story', 'mateo', 'come', 'strong', 'line', 'storyteller', '\n\n', 'mateo', 'love', 'listen', 'tale', 'ancestor', 'bravery', 'wisdom', 'colonial', 'time', 'day', 'stumble', 'old', 'map', 'hide', 'attic', 'mysterious', 'symbol', 'decide', 'use', 'map', 'find', 'legendary', 'gold', 'say', 'guard', 'mythical', 'creature', '\n\n', 'mateo', 'learn', 'quickly', 'true', 'treasure', 'find', 'follow', 'map', 'preserve', 'family', 'history', 'learning', 'past', 'mistake', 'share', 'story', 'listen', 'ancestor', 'tale', 'discover', 'hide', 'treasure', 'love', 'heritage', 'respect', 'come', '\n\n', 'remember', 'mateo', 'story', 'hear', 'treasure', 'fill', 'lesson', 'courage', 'wisdom', 'importance', 'keep', 'culture', 'alive']"
